Name,Glottocode,Value,Subsistence_Type
Songhai,koyr1242,Intensive agriculture,Agriculture
Hasania,khar1296,Two or more sources,NA
Buduma,budu1265,Two or more sources,NA
Tera,tera1251,Extensive agriculture,Agriculture
Bolewa,nucl1695,Extensive agriculture,Agriculture
Bororo Fulani,boro1274,Pastoralism,Hunting and gathering
Hausa Kanawa,kano1249,Extensive agriculture,Agriculture
Regeibat,hass1238,Pastoralism,Hunting and gathering
Asben,taya1257,Pastoralism,Hunting and gathering
Azjer,ghat1242,Pastoralism,Hunting and gathering
Ifora,tadh1242,Pastoralism,Hunting and gathering
Udalan Tuareg,timb1263,Intensive agriculture,Agriculture
Daza,daza1242,Two or more sources,NA
Drawa,susi1238,"Agriculture, type unknown",Agriculture
Chaambra,algi1247,Pastoralism,Hunting and gathering
Delim,hass1238,Pastoralism,Hunting and gathering
Kunta,hass1238,Pastoralism,Hunting and gathering
Trarza,hass1238,Pastoralism,Hunting and gathering
Teda,teda1241,Intensive agriculture,Agriculture
Zenaga,zena1248,Pastoralism,Hunting and gathering
Siwans,siwi1239,Intensive agriculture,Agriculture
Mzab,tumz1238,Intensive agriculture,Agriculture
Kel Antessar,timb1263,Pastoralism,Hunting and gathering
Kababish,nort3133,Pastoralism,Hunting and gathering
Barabish,hass1238,Pastoralism,Hunting and gathering
Aulliminden,ioul1238,Pastoralism,Hunting and gathering
Tuareg Ahaggar,hogg1238,Pastoralism,Hunting and gathering
Barabra,kenu1236,Intensive agriculture,Agriculture
Zekara,tari1263,Two or more sources,NA
Guanche,guan1277,Extensive agriculture,Agriculture
Algerians,algi1247,Intensive agriculture,Agriculture
Hamama,sout3114,Pastoralism,Hunting and gathering
Hamyan,oran1236,Pastoralism,Hunting and gathering
Jebala,jebl1238,Intensive agriculture,Agriculture
Moroccans,sout3117,Intensive agriculture,Agriculture
Nail,cons1245,Pastoralism,Hunting and gathering
Saadi,said1239,Pastoralism,Hunting and gathering
Sahel,sahi1245,Intensive agriculture,Agriculture
Egyptians,egyp1253,Intensive agriculture,Agriculture
Sanusi,liby1240,Pastoralism,Hunting and gathering
Tunisians,tuni1260,Intensive agriculture,Agriculture
Riffians,tari1263,Intensive agriculture,Agriculture
Kabyle,kaby1243,Intensive agriculture,Agriculture
Shluh,susi1238,Intensive agriculture,Agriculture
Ancient Egyptians,egyp1246,Intensive agriculture,Agriculture
Beraber,cent2194,Intensive agriculture,Agriculture
Shawiya,tach1249,Intensive agriculture,Agriculture
Tekna,hass1238,Intensive agriculture,Agriculture
Gheg,gheg1238,Intensive agriculture,Agriculture
Portuguese,gali1257,"Agriculture, type unknown",Agriculture
Ancient Romans,lati1261,Intensive agriculture,Agriculture
French Basques,labo1236,Intensive agriculture,Agriculture
Neapolitans,neap1235,Intensive agriculture,Agriculture
Spaniards,stan1288,Intensive agriculture,Agriculture
Greeks,mode1248,Intensive agriculture,Agriculture
Spanish Basques,west1508,Intensive agriculture,Agriculture
New Englanders,stan1293,Intensive agriculture,Agriculture
Boers,afri1274,Pastoralism,Hunting and gathering
Tristan da Cunha,stan1293,Intensive agriculture,Agriculture
Brazilians,braz1246,Intensive agriculture,Agriculture
French Canadians,queb1247,Intensive agriculture,Agriculture
